iter	Passed	Remaining
314	4345	1710
315	4359	1696
316	4372	1682
317	4385	1668
318	4399	1654
319	4412	1640
320	4425	1626
321	4439	1613
322	4454	1599
323	4467	1585
324	4481	1571
325	4493	1557
326	4506	1543
327	4521	1530
328	4533	1515
329	4547	1502
330	4560	1487
331	4572	1473
332	4585	1459
333	4599	1445
334	4613	1432
335	4627	1418
336	4641	1404
337	4655	1391
338	4668	1377
339	4682	1363
340	4695	1349
341	4708	1335
342	4721	1321
343	4735	1307
344	4748	1293
345	4760	1279
346	4774	1265
347	4788	1252
348	4800	1238
349	4814	1224
350	4826	1209
351	4839	1196
352	4853	1182
353	4865	1168
354	4879	1154
355	4894	1141
356	4907	1127
357	4922	1113
358	4941	1101
359	4955	1087
360	4967	1073
361	4982	1059
362	4996	1046
363	5010	1032
364	5025	1018
365	5046	1006
366	5062	993
367	5075	979
368	5089	965
369	5102	951
370	5116	937
371	5128	923
372	5142	909
373	5158	896
374	5171	882
375	5188	869
376	5203	855
377	5215	841
378	5231	828
379	5244	814
380	5257	800
381	5270	786
382	5284	772
383	5298	758
384	5313	745
385	5327	731
386	5339	717
387	5352	703
388	5367	689
389	5381	676
390	5393	662
391	5406	648
392	5420	634
393	5433	620
394	5447	606
395	5460	592
396	5474	579
397	5488	565
398	5503	551
399	5515	537
400	5529	524
401	5544	510
402	5558	496
403	5572	482
404	5587	469
405	5601	455
406	5615	441
407	5631	427
408	5645	414
409	5659	400
410	5673	386
411	5686	372
412	5700	358
413	5712	344
414	5726	331
415	5742	317
416	5756	303
417	5770	289
418	5782	276
419	5797	262
420	5810	248
421	5824	234
422	5837	220
423	5850	206
424	5863	193
425	5876	179
426	5890	165
427	5903	151
428	5917	137
429	5932	124
430	5945	110
431	5957	96
432	5972	82
433	5986	68
434	5998	55
435	6010	41
436	6024	27
437	6039	13
438	6056	0
