iter	RMSE
295	4.433865244
296	4.423720835
297	4.414148385
298	4.40273015
299	4.389589003
300	4.381277712
301	4.364961626
302	4.349983111
303	4.341262321
304	4.328198699
305	4.320217349
306	4.30535956
307	4.296934222
308	4.284974742
309	4.273059897
310	4.262539707
311	4.247396809
312	4.240206077
313	4.233559574
314	4.222872997
315	4.206662852
316	4.195643021
317	4.187867848
318	4.178773793
319	4.166070959
320	4.155097043
321	4.139180035
322	4.122403605
323	4.11050853
324	4.097301553
325	4.092284729
326	4.078418833
327	4.068541507
328	4.060215655
329	4.047960422
330	4.035774681
331	4.027794423
332	4.019248251
333	4.007368607
334	3.996575231
335	3.987464939
336	3.971476623
337	3.958925304
338	3.947987416
339	3.935323288
340	3.929300978
341	3.918387709
342	3.907208085
343	3.894958214
344	3.888568434
345	3.881496243
346	3.860825371
347	3.851787615
348	3.844320694
349	3.836155969
350	3.83154414
351	3.821169673
352	3.814968759
353	3.810059712
354	3.800217388
355	3.78178407
356	3.775133142
357	3.759928721
358	3.750551286
359	3.738334748
360	3.731861781
361	3.723140811
362	3.710438436
363	3.699640073
364	3.689325984
365	3.668244262
366	3.657918745
367	3.650716107
368	3.642041353
369	3.631318685
370	3.621961602
371	3.613993342
372	3.604307867
373	3.592046956
374	3.584692156
375	3.567221551
376	3.552368228
377	3.547078038
378	3.538705248
379	3.530994577
380	3.523136165
381	3.512666408
382	3.502995295
383	3.490420076
384	3.474427783
385	3.464857671
386	3.457659954
387	3.449095987
388	3.436110524
389	3.428458058
390	3.423026308
391	3.410607759
392	3.40061509
393	3.390353903
394	3.381055003
395	3.374325992
396	3.364782162
397	3.354108167
398	3.345280177
399	3.340319849
400	3.330809089
401	3.318799591
402	3.30656823
403	3.297088414
404	3.280530192
405	3.272178504
406	3.262718009
407	3.255215769
408	3.249579205
409	3.239064115
410	3.232284939
411	3.225488212
412	3.217766607
413	3.211389015
414	3.206413761
415	3.197238907
416	3.190636834
417	3.179673214
418	3.171676798
419	3.161729845
420	3.154488158
421	3.147330537
422	3.139477938
423	3.131190811
424	3.127088891
425	3.122758249
426	3.114204967
427	3.106416567
428	3.096403308
429	3.087175897
430	3.084017535
431	3.077751902
432	3.063956742
433	3.056141199
434	3.053178673
435	3.047529106
436	3.038330559
437	3.030476544
438	3.023863641
